% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 81.81    0.313192        1614       194         7 futex
  6.32    0.024197       12098         2           wait4
  3.85    0.014732       14732         1           epoll_wait
  1.73    0.006628         138        48           munmap
  1.33    0.005110          58        88           rt_sigprocmask
  1.03    0.003937          35       110           mmap
  0.88    0.003382          49        69           sigaltstack
  0.76    0.002912         138        21           madvise
  0.48    0.001847          22        81           mprotect
  0.40    0.001544          73        21           clone3
  0.34    0.001307          62        21           prctl
  0.22    0.000841          38        22           gettid
  0.21    0.000796          46        17           read
  0.12    0.000441          10        42        14 openat
  0.10    0.000392          17        23           rseq
  0.10    0.000390          15        25           getrandom
  0.07    0.000253          11        23           sched_getaffinity
  0.05    0.000179           5        35           close
  0.04    0.000169          16        10         2 statx
  0.04    0.000152         152         1           rename
  0.03    0.000133           5        24           set_robust_list
  0.03    0.000096          10         9         8 readlink
  0.02    0.000059          11         5           write
  0.01    0.000048           2        20           rt_sigaction
  0.01    0.000041          10         4         4 ioctl
  0.01    0.000020          10         2         2 mkdir
  0.00    0.000013          13         1           memfd_create
  0.00    0.000010           1         9           brk
  0.00    0.000009           3         3           fcntl
  0.00    0.000008           8         1           setpriority
  0.00    0.000006           6         1           getpriority
  0.00    0.000000           0         1           poll
  0.00    0.000000           0         1           lseek
  0.00    0.000000           0         1         1 rt_sigreturn
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         2         2 access
  0.00    0.000000           0         1           socketpair
  0.00    0.000000           0         1           clone
  0.00    0.000000           0         2           execve
  0.00    0.000000           0         1           setpgid
  0.00    0.000000           0         1         1 rt_sigsuspend
  0.00    0.000000           0         4         2 arch_prctl
  0.00    0.000000           0         2           set_tid_address
  0.00    0.000000           0         1           timer_create
  0.00    0.000000           0         1           timer_settime
  0.00    0.000000           0         2           epoll_ctl
  0.00    0.000000           0        22           newfstatat
  0.00    0.000000           0         1           eventfd2
  0.00    0.000000           0         1           epoll_create1
  0.00    0.000000           0         3           prlimit64
------ ----------- ----------- --------- --------- ------------------
100.00    0.382844         387       989        43 total
