% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 83.78    0.148421         833       178        13 futex
  5.51    0.009769        4884         2           wait4
  4.46    0.007897        7896         1           epoll_wait
  1.01    0.001784          20        88           rt_sigprocmask
  0.97    0.001727          82        21           madvise
  0.91    0.001618          33        48           munmap
  0.45    0.000802           7       110           mmap
  0.36    0.000640           7        81           mprotect
  0.36    0.000640           9        69           sigaltstack
  0.24    0.000432          17        25           getrandom
  0.19    0.000339           8        42        14 openat
  0.19    0.000335          15        21           clone3
  0.19    0.000333          33        10         2 statx
  0.16    0.000280          16        17           read
  0.16    0.000277         277         1           rename
  0.15    0.000257           7        35           close
  0.11    0.000197           9        21           prctl
  0.10    0.000186           8        23           sched_getaffinity
  0.09    0.000158          17         9         8 readlink
  0.08    0.000150           6        22           gettid
  0.07    0.000131           5        22           newfstatat
  0.07    0.000128           6        20           rt_sigaction
  0.05    0.000096           4        23           rseq
  0.05    0.000084          28         3           write
  0.04    0.000072           3        24           set_robust_list
  0.04    0.000063          31         2         2 mkdir
  0.03    0.000060           7         8           pread64
  0.03    0.000059          59         1           clone
  0.03    0.000049          49         1           setpriority
  0.02    0.000039          39         1           memfd_create
  0.02    0.000032          32         1         1 ioctl
  0.02    0.000027           3         9           brk
  0.01    0.000019           6         3           fcntl
  0.01    0.000012          12         1         1 rt_sigsuspend
  0.01    0.000009           9         1         1 rt_sigreturn
  0.01    0.000009           2         4         2 arch_prctl
  0.00    0.000008           8         1           setpgid
  0.00    0.000008           4         2           set_tid_address
  0.00    0.000008           2         3           prlimit64
  0.00    0.000006           6         1           getpriority
  0.00    0.000003           3         1           timer_create
  0.00    0.000001           1         1           timer_settime
  0.00    0.000000           0         1           poll
  0.00    0.000000           0         1           lseek
  0.00    0.000000           0         2         2 access
  0.00    0.000000           0         1           socketpair
  0.00    0.000000           0         2           execve
  0.00    0.000000           0         2           epoll_ctl
  0.00    0.000000           0         1           eventfd2
  0.00    0.000000           0         1           epoll_create1
------ ----------- ----------- --------- --------- ------------------
100.00    0.177165         183       968        46 total
