% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 95.91    0.014930        7465         2           wait4
  1.64    0.000256         128         2           execve
  1.00    0.000156           8        18           mprotect
  0.70    0.000109           3        32           mmap
  0.23    0.000036           2        14           rt_sigaction
  0.11    0.000017           4         4           read
  0.10    0.000016           8         2           gettimeofday
  0.08    0.000013          13         1           stat
  0.06    0.000009           9         1           open
  0.05    0.000008           0        20           close
  0.05    0.000008           8         1           writev
  0.04    0.000006           6         1           sigaltstack
  0.01    0.000002           1         2           set_robust_list
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         3           rt_sigprocmask
  0.00    0.000000           0         1         1 rt_sigreturn
  0.00    0.000000           0         4           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           clone
  0.00    0.000000           0         1           setpgid
  0.00    0.000000           0         1         1 rt_sigsuspend
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           futex
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           timer_create
  0.00    0.000000           0         1           timer_settime
  0.00    0.000000           0        30        13 openat
  0.00    0.000000           0        17           newfstatat
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.015566          90       172        17 total
